title,contents,decoder_input,decoder_target
하루,제비 마리 우리 지붕 아래 주머니 꽃잎들 어제 세수한 얼굴 따뜻한 햇살 동생 바둑 나비 동산 하나 친구들 잔디 구름 그림 하늘 도화지 솜사탕 간주 라라라라라 라라라라라 라라라라라 라라 라라라라 따뜻한 햇살 동생 바둑 나비 동산 하나 친구들 잔디 구림 그림 하늘 도화지 엄마 얼굴,sostoken 하루,하루 eostoken
세마리,마리 아빠곰 엄마곰 애기곰 아빠곰 엄마곰 날씬 애기곰 반복,sostoken 세마리,세마리 eostoken
아기 염소 창작동요제,하늘 하늘 언덕 아기염소 여럿 얼굴 빗방울 뚝뚝뚝뚝 얼굴 엄마 아빠 울상 기다렸나봐 홀짝홀짝 콩콩콩 콩콩콩 아기 염소들 반복,sostoken 아기 염소 창작동요제,아기 염소 창작동요제 eostoken
동물농장,닭장속 암탉 문간 거위 배나무 염소 외양간 송아지 닭장속 암탉들 문간 거위들 배나무 염소들 외양간 송아지 산속 뻐꾸기 하늘 종달새 부뚜막 고양이 마루 강아지 산속 뻐꾸기 하늘 종달새 부뚜막 고양이 마루 강아지 하이아야 오오오 하이아야 오오오,sostoken 동물농장,동물농장 eostoken
멋쟁이 토마토,몸매 새콤 달콤 향내 멋쟁이 토마토 토마토 나는야 주스 될거야 나는야 케첩 될거야 나는야 출거야 토마토 토마토 반복 간주 나는야 주스 될거야 나는야 케첩 될거야 나는야 출거야 토마토 토마토 토마토 토마토,sostoken 멋쟁이 토마토,멋쟁이 토마토 eostoken
수박 파티,수박하 우리 하모니카 쭉쭉쭉 쓱쓱쓱 싹싹싹 쭉쭉쭉 쓱쓱쓱 싹싹싹 반복,sostoken 수박 파티,수박 파티 eostoken
얼굴 찌푸리지 말아요,얼굴 모두 잖아요 기쁨 친구들 혼자 주위 모두 친구 우리 거예요 시련 좌절 우리 친구들 우리 원투쓰리포 얼굴 모두 기쁨 친구들 혼자 주위 모두 친구 간주 우리 거예요 시련 좌절 우리 친구들 우리 원투쓰리포 얼굴 모두 기쁨 친구들 혼자 주위 모두 친구 얼굴 모두 기쁨 친구들 혼자 주위 모두 친구,sostoken 얼굴 찌푸리지 말아요,얼굴 찌푸리지 말아요 eostoken
싹트네,마음 사랑 마음 사랑 파도 마음 사랑 마음 사랑 반복,sostoken 싹트네,싹트네 eostoken
작은 초등학교 학년 과정,구슬 저녁하늘 금강석 깔아논듯 소근 소근 햇님 얼굴 반복,sostoken 작은 초등학교 학년 과정,작은 초등학교 학년 과정 eostoken
다시 한번 만화 또봇 오프닝,그곳 함께인걸 어려움 세상 험난해 때론 한번 때론 한번,sostoken 다시 한번 만화 또봇 오프닝,다시 한번 만화 또봇 오프닝 eostoken
꿈꾸지 않으면,가려네 사랑 마음 사랑 우리 아무 가지 우리들 누구 우리들 세상 희망 희망 희망 희망 희망 희망,sostoken 꿈꾸지 않으면,꿈꾸지 않으면 eostoken
당신은 사랑받기 위해 태어난 사람,당신 사랑받기 사람 당신 사랑 당신 사랑받기 사람 당신 사랑 태초 시작 하나님 사랑 우리 열매 당신 세상 존재함 우리 당신 사랑받기 사람 사랑 당신 사랑받기 사람 사랑 간주 태초 시작 하나님 사랑 우리 열매 당신 세상 존재함 우리 당신 사랑받기 사람 사랑 당신 사랑받기 사람 사랑 당신 사랑받기 사람 사랑 당신 사랑받기 사람 사랑 사랑 사랑,sostoken 당신은 사랑받기 위해 태어난 사람,당신은 사랑받기 위해 태어난 사람 eostoken
러브송,미소 꽃잎 우리 사랑 축복 순간 마법 그대 사랑 되고파 시간 이젠 자리 된거 미소 꽃잎 우리 사랑 축복해 간주 행복 팝콘 처럼 부풀길 때론 시간 희망 잠들길 소박 약속 간직 미소 꽃잎 우리 사랑 축복해 간주 그대 사랑 그댄 영원 우리 오늘 사랑해 하늘 그대 사랑 그댄 영원 우리 오늘 사랑해 하늘,sostoken 러브송,러브송 eostoken
높임말 친구 창작동요대회,우리들 이상해 어른들 하늘높이 우리들 이상해 어른들 요구르트 달콤 요술 신기한데 요요요요 잉잉잉 우리들 하는말은 이상해 어른들 친구 간주 요요요요 잉잉잉 우리들 이상해 어른들 친구 랄라라랄라 랄라라랄랄라 랄라라랄라 랄랄랄라 랄라라랄라 랄랄라 친구,sostoken 높임말 친구 창작동요대회,높임말 친구 창작동요대회 eostoken
좋은 창작동요제,사랑 한마디 우리 식구 사랑 한마디 엄마 아빠 가슴 콩닥콩닥 뛴데요 사랑 한마디 한마디 한마디 반복 사랑 사랑,sostoken 좋은 창작동요제,좋은 창작동요제 eostoken
