,title,contents,decoder_input,decoder_target
47,코로나치료제 셀트리온 델타변이에 와르르,셀트리온 형제 일제히 급락 코로나 국산 항체 치료제인 셀트리온의 렉키로나 인도발 코로나 델타형 변이를 대상으로 방어 능력이 현저히 떨어지는 것으로 나타났다 관련 소식이 전해진 직후 셀트리온이 증시에서 하락하는 셀트리온 형제 주가가 급락했다 셀트리온헬스케어와 셀트리온제약은 내렸다 이날 국립보건연구원에 따르면 델타형 변이와 가지의 국내 유행 변이를 대상으로 국내 항체 치료제 효능을 분석한 결과 최근 국내 유행 변이주는 중화능이 유지되지만 델타형 변이에 대한 중화능은 현저히 감소되는 것으로 확인됐다 반면 나머지 가지 국내 유행 변이주인 대해서는 항체 치료제의 중화능이 유지된 것으로 나타났다 셀트리온의 렉키로나는 카파형 바이러스에 대해서는 일부 효과가 있다는 보건연구원의 설명이다 카파형은 인도 유래 코로나 변이 바이러스 변이 분류되는 유형이다 이날 셀트리온 주가가 하락한 데는 주가 동력인 코로나 치료제의 해외 승인에 따른 실적 개선 기대감이 줄었기 때문으로 풀이된다 지난 렉키로나가 임상 상시험에서 효능이 있는 것으로 나오자 셀트리온이 오르는 셀트리온 형제 주가는 급등했다 앞서 유진투자증권은 유럽과 미국에서 긴급사용승인 조건부 허가승인이 가능할 것으로 전망하며 올해 코로나 치료제 수출액을 억원으로 추정했다 인당 치료제 가격 만원에 만명분 투여를 가정하고 매출액을 잡았다,sostoken 코로나치료제 셀트리온 델타변이에 와르르,코로나치료제 셀트리온 델타변이에 와르르 eostoken
50,당겨진 집단면역 시간표 완료,동영상 정부는 다음달 일부터 예정대로 거리두기 개편안을 적용한다고 밝혔습니다 수도권은 명이 명까지만 모일 있는 중간 이행기간을 두기로 했습니다 아직 코로나 확산세가 완전히 잡히지 않았다고 보기 때문입니다 당초 수도권을 빼곤 곧바로 명까지 모임을 가능하게 하기로 했습니다 변이 바이러스까지 더해지면서 지자체들도 이행 기간을 둘지 검토한 오는 일요일 발표하기로 했습니다,sostoken 당겨진 집단면역 시간표 완료,당겨진 집단면역 시간표 완료 eostoken
81,아빠와 단둘이 여행할 있을까,여행플러스 빅데이터 자료 단독 입수 서울 거주 남성 화성 가장 많이 찾아 서울 거주 여성 강남구 부천 많이 방문 편하게 근처 호텔로 잡자 차이도 나잖아 아깝게 호텔을 예약해 에어비앤비가 싸고 시설도 맛있어 보이네 추운데 대충 아무데나 가자 평점 점대야 이런데 들어가면 호갱 이라고 식구가 마지막으로 갔던 가족여행을 돌아보면 오빠와 부모님과 맞서 티격태격 하던 순간들이 떠오른다 그중에서도 갈등 핵심 인물은 아버지와 본인이다 자그마하던 때는 아무 대꾸 없이 하자는 따라다녔는데 너무 사나워졌다 의기소침해하는 아빠를 미안한 마음이 들다가도 답답한 마음에 종종 화를 내게 된다 한쪽이 욕심을 내려놔야 끝나는 분쟁 아빠가 뜻대로 해라 라며 양보할 원하는 얻어냈어도 마음이 마냥 좋지만은 아빠와 단둘이 여행을 떠나는 상상해봤다 하다가 고개를 절레절레 내저었다 그나마 오빠라도 있으면 든든한 생기는데 아빠와 둘이서만 가면 얼굴 붉히지 않고 돌아오는 가능할까 걱정은 됐지만 번쯤 도전 해보고 싶었다 세월이 흐를수록 보내는 시간도 줄어들고 자연스레 취향도 여행 스타일도 너무 달라진 부녀 만에 처음으로 단둘이 당일치기 여행을 떠나본다 여행 성공할 있을까 자료 제공 사업본부 디자인 정미진 여행 디자이너 가장 먼저 목적지를 정해야 했다 성별도 세대도 둘이 최대한 만족할 곳이어야 했다 서울에 거주하는 부녀가 당일치기로 다녀오기 좋을 수도권 지역으로 범위를 좁혔다 햇볕 쨍쨍한 여름에 대인 남성과 여성이 공통적으로 많이 가는 지역이 있을지 살펴봤다 여행플러스는 빅데이터와 기반으로 분석한 자료를 단독 입수했다 빅데이터 사업본부가 서울시 거주자 주말에 남성 여성이 가장 많이 방문한 서울 경기 인천 시군구를 분석한 데이터를 참고해 취합한 결과의 평균을 냈다 결과 작년 해당 개월 남성은 평균적으로 경기 화성시 경기 남양주시 경기 부천시 순으로 많이 방문했다 여성은 강남구 마포구 송파구 주로 서울 내에서 이동을 많이 것으로 나타났다 서울 외의 지역으로는 경기 부천시를 가장 많이 방문했다 서울에 거주하기 서울을 벗어나고 싶어 경기권에서 공통으로 상위에 오른 부천시를 방문하기로 했다 항상 목적지로 가다가 경로를 벗어나 갑자기 꽂히는 곳으로 향하는 아빠와의 갈등 방지를 위해 부천 내에서 가보고 싶은 곳을 미리 곳씩 골라 곳을 방문하는 계획을 세웠다 남성과 여성이 원하는 곳들로 구성한 부천 당일치기 여행 걱정 기대 반으로 출발했다 모네정원 아이를 위한 체험 공간 인스타그램에 부천여행 검색했을 데이지 꽃을 비롯한 수많은 예쁜 꽃들로 가득한 인생샷 성지 발견하고 기자가 가장 먼저 기록했던 프랑스 유학 시절 파리 근교 지베르니 여행 방문했던 모네 생가와 정원을 가족과 가지 못해 아쉬웠던 기억에 망설임 없이 이곳을 가장 먼저 방문했다 도시에 살아가며 지친 어른 자연 속에서 체험을 즐기며 상처를 치유하고 힐링하기 위해 찾는다는 산림청에서 주관하는 아름다운 정원 으로도 뽑혔다 예약제로 운영되며 계절별로 매실 따기 감자 캐기 플라워클래스 다양한 프로그램이 진행된다 기본 입장료는 체험비 어른 체험비 원이다 정원 풍경 그다지 내켜 않는 아빠를 옆에 앉히고 리스 만들기 체험을 해보기로 했다 사장은 바구니와 가위를 건네주며 정원에서 원하는 가지 자유롭게 골라 담아오도록 해줬다 직접 고른 꽃과 사장이 준비해온 꽃들로 리스 만들기 체험을 시작했다 엄마와 또는 친구들끼리 오는 등의 조합은 많이 봤지만 아빠와 딸이 수업을 들으러 처음이라는 사장 오래 알고 지내온 것만 친근함이 묻어나는 대화와 줄기 다듬는 모양과 크기에 꽂아야 위치 등에 대한 교육을 상세히 받았다 낯선 꽃의 종류와 특징에 대한 설명도 들을 있었다 곳곳에 꽃을 직접 골라 리스를 만들어본다 사장이 직접 정원에서 수업을 진행한다 아빠와 열심히 만들어 리스 설명을 마치고 사장은 아빠와 딸이 둘만의 시간을 보낼 있도록 자리를 비웠다 꽃과 가까이해본 없는 부녀가 머리를 맞대고 고민하며 리스를 꾸며나갔다 완성한 알고 사장에게 보여주니 빈틈이 보이면 된다 퇴짜를 맞았을 서로를 탓하기도 했다 할은 사장의 도움을 받고 우여곡절 끝에 리스를 완성했다 만드는 과정에선 이게 될까 우려했지만 결과물을 보니 매우 만족스러웠다 데이지꽃이 많이 시들기 왔으면 아쉬움은 남지만 기대를 저버리지 않은 힐링 인생 사진 명소였다 한줄평 시작 전에는 벌써 온다 걱정시키던 아빠가 투박한 손으로 꽃을 꼼꼼히 다듬고 집중해서 꽂는 모습을 보는 재밌었다 아빠 한줄평 초등학생 학교에서 강제로 카네이션을 만든 이후 처음으로 꽃을 다뤄본 생각보다 꽃꽂이에 소질이 있는 자신을 발견하고 인생 막을 그려봤다 아빠 정글애갑오징어 식당 외관 부녀는 음식 앞에서는 대동단결이다 아재 초딩 입맛 둘은 집에서도 냉장고에서 음식을 두고 눈치작전을 펼친다 메뉴 선정에는 갈등이 없었다 검증된 맛집 중시하는 기자는 다양한 포털의 리뷰를 분석하고 맛집을 찾는 편이지만 아빠는 대충 검색해 맛있어 보이면 찾아간다 이번에 아빠가 고른 역시 평가가 포털에 극과 극으로 갈리는 곳이었다 실패의 두려움이 가득 몰려왔지만 그냥 따라가기로 했다 역시나 찾아가는 과정에서 여기도 맛있겠다 그냥 갈까 보이는 곳마다 가고 싶다는 아빠를 말리느라 애썼다 갑오징어 철판 볶음밥 볶음밥 대표 메뉴인 갑오징어 철판 볶음 볶음밥을 주문했다 아무 기대를 하고 걱정을 너무 해서였을까 깔끔하고 푸짐한 구성에 맛까지 의아했다 평점만 보고 편견 잔뜩 갖고 들어선 머쓱해질 정도였다 직원들이 불친절하다는 후기가 많아 순간 긴장하고 지켜봤지만 특이점을 느끼지도 못했다 만날 검색창 제일 위에 뜨는 간다며 큰소리치던 민망해질 정도로 그릇을 깨끗이 비웠다 한줄평 평점이 맛집의 진위를 결정하는 요인이 아닐 있기에 검색에 대한 지나친 부담은 내려놔도 같다고 느끼게 아빠 한줄평 처음 고를 리뷰 생각은 못하고 포털에 사진과 메뉴표만 보고 찍었다 나중에 딸이 직원이 불친절하다 리뷰를 보여줬을 마음이 철렁했으나 원래 맛있는 집은 불친절한 거다 라고 우겼다 음식점 들어설 때부터 조마조마했으나 특별히 불친절하지 않아 다행이었다 종업원이 멀리서 다가올 때마다 조마조마했던 식사였다 스페이스작 건물 외관 사진출처 스페이스작 공식 인스타그램 브런치 카페 루프톱 공연 전시회를 곳에서 즐길 있는 층짜리 복합문화공간 스페이스작 식사 커피 한잔하러 카페를 찾던 이곳저곳 돌아다니지 않아도 편하게 곳에서 다양한 경험을 있는 같아 이곳을 찾아가 봤다 전경 카페 역할을 공간은 커피 베이커리 디저트를 즐길 있는 층과 층이다 카페 곳곳의 예술품에는 부천의 작은 가치들을 발굴하기 위해 여러 작가와의 협업을 통해 다양한 분야의 예술 작품을 전시 판매한다는 사장의 의도가 묻어있다 더불어 층에는 쥬얼리를 구입할 있는 공간이 마련돼 있고 로스팅룸에서 커피를 직접 로스팅하는 모습도 크림브륄레 라떼 제주한라봉쿨러 여름에 시원하게 즐기기 좋다고 추천받은 제주한라봉쿨러와 시그니처 메뉴인 크림브륄레 라떼를 주문했다 제주한라봉쿨러는 제주한라봉 알갱이가 입에 가득 들어오고 청량하고 시원해 여름과 어울렸다 진한 라떼 베이스에 슈크림 올라가고 설탕가루로 달고나 느낌을 크림브륄레 라떼는 윗층을 톡톡 깨서 한숟갈 떠먹으니 크림의 달달함이 진하게 들어왔다 아빠는 어릴적 먹던 이라는 주스 맛이 생각난다며 제주한라봉쿨러를 좋아했고 기자는 프랑스에서 즐겨먹던 최애 디저트가 크림브륄레였기 크림브륄레 라떼에 손이 갔다 층에서 즐기는 브런치 뷔페 층은 브런치 뷔페와 라이브 홀이 마련돼 이곳에서 한식 양식 다양한 요리로 구성된 브런치 뷔페를 원이라는 합리적인 가격에 즐길 오는 날인데도 사람이 정도로 인기가 많았다 이곳에서 저녁에는 공연도 이뤄진다고 한다 루프탑 가든 지하 전시회 이밖에도 층에는 부천의 아름다운 주택가가 한눈에 담기는 루프탑 가든과 라운지 층에서는 인스타 감성 담은 미술 갤러리 전시회를 관람할 오는 날이라 야외로 돌아다니기 힘든 상황이었는데 이곳에서 오래 머물며 아빠와 서로 사진도 찍어주며 여유로운 시간을 보냈다 하고 싶은 많지만 돌아다니기 힘들 복합문화공간 스페이스작 찾아보는 어떨지 한줄평 저렴한 가격의 브런치 깔끔한 인테리어 무료 전시회 전반적으로 매력적인 공간이었다 아빠도 만족한 같아 뿌듯하다 아빠 한줄평 대의 검색 능력을 따라갈 없다는 사실을 절감한 시간이었다 아빠 상동호수공원 상동호수를 중심으로 조성된 상동호수공원 때마다 사진 찍으러 빼고는 굳이 공원에서 산책하는 즐기지 않는 필자지만 주말마다 엄마와 산책을 즐겨 가는 아빠가 고른 상동호수공원으로 여행 일정을 마무리했다 농업 공원을 비롯한 테마가 있는 공간이 곳곳에 배치돼 아빠가 찍은 잉어 농업 공원 호숫가에 있는 다리를 건너는데 낚시를 좋아하는 아빠가 잉어를 찍겠다고 한참을 있었다 빨리 이동하고 싶은 마음도 들었지만 잉어가 여러 마리 모여 있을 사진 찍었다며 흡족해하는 아빠를 보고 말없이 기다렸다 기자에겐 매우 낯선 농업 공원의 벼나 작물에 정보를 대는 알까 싶어 물었지만 서울에서 나고 자란 아빠는 아무런 대답이 없었다 딸의 사진을 열심히 찍어주는 아빠 벼도 작물도 지나치고 본격적으로 공원 곳곳을 산책했다 딸의 프사 건져주기 위한 아빠의 노력도 시작됐다 필터 카메라 쓰면 어떡하지 개성 넘치는 구도의 사진이겠지 기대 없이 포즈를 취했지만 결과물은 생각 외로 만족스러웠다 공원에서 발견한 안내문과 경고문 사진을 찍어야 둘러보던 아빠가 공원에는 안내문과 경고문이 너무 많아 사진 찍기 어렵다고 했다 얘길 듣고 보니 정말 공원에 유독 플래카드나 표지판 등의 형태로 쓰인 글귀를 여럿 발견할 있었다 공원을 돌아다니며 경고문이나 안내문을 발견할 때마다 사진을 찍던 아빠의 모습이 우스웠다 한줄평 부천 가볼만한 자주 등장하던 곳이라 기대가 컸지만 평범한 동네 공원같은 느낌이라 살짝 아쉬웠음 아빠 한줄평 서울서 가깝고 주차료도 산책 삼아 만하다 공원 곳곳에 붙은 경고문을 보며 온갖 일탈이 횡행하는 곳인가 생각이 들기도 어쩌다보니 잔잔한 힐링을 목적으로 방문한 이곳에서 웃음바다로 빠졌지만 오랜만에 목적지 없이 걸으면서 아빠와 이런저런 얘기도 나누며 부천 당일치기 여행을 마무리했다 집에 돌아오자마자 약속이라도 각자의 방에서 쿨쿨 잠이 드는걸 보니 매일 부정해도 서로 많이 닮긴 닮았나보다 상동호수공원에서 아빠와 남겨봤다 아빠와 단둘이 여행할 있냐고 스스로에게 던진 질문에 답을 해보려 한다 정답은 충분히 그렇다 또래 친구들과의 여행과는 재미로 다가온 아빠와의 여행 서로를 이해하고 맞춰서 해보려는 의지만 있다면 즐겁게 다녀올 있는 쓰는 수많은 사람들의 빅데이터와 찍어준 동네라 원활했던 걸까 아빤 이럴거다 딸은 이러겠지 편견에 떠나보기도 거부감부터 들더라도 필자를 믿고 한번 떠나보시길 시간을 자주 보내던 시절의 추억도 떠오르며 서로를 이해할 있는 계기가 테다 전국의 서먹해진 부녀의 여행을 응원한다,sostoken 아빠와 단둘이 여행할 있을까,아빠와 단둘이 여행할 있을까 eostoken
186,이준석 효과에 국민의힘 지지율,재보선 직후 이어 두번째 민주당 호남 국민의힘이 국정농단 사태 본격화 이후 최고치인 지지율을 기록했다는 여론조사 결과가 나왔다 한국갤럽이 전국 명을 대상으로 실시한 정당 지지율 조사에서 국민의힘 지지도는 기록했다 이는 올해 보궐선거 직후에 이은 번째 기록이며 국정농단 사태 본격화 이후 최고치에 해당한다 이날 조사에서 더불어민주당은 국민의당 정의당 열린민주당 무당층 등으로 나타났다 국민의힘 계열 정당의 지지도가 대를 기록한 것은 첫째 주가 마지막이었다 연령별로는 민주당 지지도는 대가 기록해 가장 높았고 국민의힘은 이상에서 무당층 비율은 대에서 최고치를 나타냈다 정치 성향별로는 진보층의 민주당을 보수층의 국민의힘을 지지한다고 밝혔다 중도층에서는 민주당 국민의힘 비슷했으며 특정 정당을 지지하지 않는다고 응답했다 지역별로 광주 전라 지역의 국민의힘 지지율은 기록했다 이는 총선 직후인 주차 조사에서 기록한 비해 오른 수치다 한편 이준석 국민의힘 대표는 취임 나흘 만인 전북 지역을 찾아 지역 발전과 일자리 문제 등을 논의했다 대표가 호남을 찾은 것은 취임 이후 번째로 대표는 취임 직후인 지난 공식일정으로 광주 철거건물 붕괴 참사 희생자 합동분향소를 찾았다 대표는 새만금 동서 남북도로 교차점에서 새만금 사업 브리핑을 듣고 군산형 일자리 기업인 명신 군산공장을 방문했다 이날 오후에는 현대자동차 전주공장을 둘러본 전라선 고속철도 사업 현장을 방문한다 이후민 군산 완주 김현아 대한민국 오후를 여는 유일석간 문화일보,sostoken 이준석 효과에 국민의힘 지지율,이준석 효과에 국민의힘 지지율 eostoken
205,휴지되나요 이루는 아시아나 개미주주,한국거래소는 지난 전직 임원이 배임 혐의로 기소된 아시아나항공을 기업심사위원회 심의대상으로 결정했다고 결정했다 거래 재개를 기대했던 소액주주들의 바람과 달리 아시아나항공의 거래 재개 시점은 더욱 멀어졌다,sostoken 휴지되나요 이루는 아시아나 개미주주,휴지되나요 이루는 아시아나 개미주주 eostoken
275,독도 방문객 개월,누적방문 전년 급상승 독도왜곡 여행수요 증가 영향 지난 독도 방문객이 명으로 사이 가까이 급증했다 기념일과 신종 코로나바이러스 감염증에 해외여행을 따른 욕구 해소 측면이 있지만 일본 정부의 역사와 영토 왜곡 문제도 영향을 미친 것으로 분석됐다 경북 울릉군 독도관리사무소에 따르면 독도 방문객은 지난 명에 불과했으나 명에 이어 월에는 명으로 개월 사이 증가했다 이달에도 지난 일까지 명이 방문했다 올해 들어 지난 일까지 누적 방문객도 명으로 지난해 기간 명에 비해 증가했다 독도 방문객이 급증한 것은 코로나 국내 여행 수요가 많아진 가운데 어린이날 어버이날 기념일에 가족 단위 등으로 비교적 코로나 청정지역인 울릉도를 찾으면서 독도로 발길을 옮겼기 때문으로 보인다 일본 정부가 위안부 문제 역사와 독도 영유권을 두고 갈수록 노골적으로 왜곡하면서 국민적 관심이 커진 것도 이유다 최근에는 오는 개막하는 도쿄올림픽조직위원회 홈페이지에 독도를 일본 영토처럼 표기한 따른 반발도 작용하고 지난주 독도를 다녀온 송휘영 영남대 독도연구소 교수는 태극기를 들고 방문한 모임이 많았다 면서 접근성이 좋지 않은 점을 일본 정부의 역사와 영토 왜곡 행태에 대한 반감 등의 영향이 있는 것으로 보인다 말했다 울릉 박천학 대한민국 오후를 여는 유일석간 문화일보,sostoken 독도 방문객 개월,독도 방문객 개월 eostoken
289,사라진 빨간 돌아온다,민주당 대체 공휴일 관련 개정 신속처리 방침 광복절부터 시행 경향신문 경력사원 모집 경향신문 프리미엄 유료 콘텐츠가 달간 무료 경향신문,sostoken 사라진 빨간 돌아온다,사라진 빨간 돌아온다 eostoken
292,아플 알았는데 전기장판까지 꺼냈다,앵커의 얀센 코로나 백신 접종기 두통과 미열 오한 있었지만 참을 했다 예비군과 민방위 대원 등을 대상으로 얀센 백신을 예약한 만인 오전 떨리는 마음으로 백신 접종을 마쳤습니다 직장인 남성이자 민방위 대원인 저의 백신 접종기를 풀어볼까 합니다 참고로 저는 운동을 규칙적으로 하고 기저질환이나 약물 알레르기가 없는 건강한 대입니다 얀센 백신 접종 기사 작성을 시작합니다 얀센 백신을 접종한 시간이 지났습니다 현재까지 해열제를 알씩 차례 먹었습니다 뻐근한 팔과 무거운 머리 전체적으로 컨디션이 좋지 않습니다 솔직히 나는 아플 알았다 백신 주사 맞는 아플거라고 생각했습니다 주사를 맞을 바늘이 피부를 찌르고 약물이 주입되는 과정에서의 따끔함과 묵직한 통증은 경험한 적이 있지만 주사를 맞은 뒤에 면역 반응으로 아팠던 기억이 딱히 없기 때문입니다 주변에 후기를 들려줄 사람도 없었습니다 아직 부모님은 접종 대상이 아니시고 며칠 친구가 맞았지만 아프다는 말을 엄살쯤으로 흘려 들었습니다 건너 건너 듣는 후기는 크게 와닿지 않았습니다 정각이 되기 서울 상암동 병원에 도착했습니다 제가 병원의 번째 접종자였습니다 접종 절차는 생각보다 간단했습니다 간단히 문진표를 쓰고 체온을 측정한 주사실로 들어갔습니다 팔에 주사를 맞는 오랜만이었습니다 긴장했지만 나름 해냈습니다 접종 대기했다가 없자 욱신거리는 팔로 운전을 해서 집으로 왔습니다 밥을 먹고 컴퓨터를 오가며 작정하고 휴식을 취했습니다 백신 맞고 운동하면 된다는 핑계로 헬스장도 건너뛰었습니다 역시 아프지 않은 건가 이유 모를 성취감이 들었습니다 접종 부위가 욱신거리는 전부였습니다 그러다 접종 시간이 지난 오후 시쯤 신호 왔습니다 주사를 맞은 왼쪽이 아닌 오른쪽 팔이 아팠습니다 오랜만에 게임을 해서 그런가 터무니 없는 착각이 들기도 했습니다 백신을 맞은 사람에게 물어보니 증상이 비슷했습니다 드디어 면역 반응이 시작된 같았습니다 근육통이 시작되면서는 차분히 저녁을 기다렸습니다 잠자리에 들기 해열제를 먹을 요량이었습니다 저녁 야심차게 준비한 해열제 알을 먹었습니다 평소처럼 잠들었고 때까지만 심하게 아프지 않을 같다는 희망이 있었습니다 오랜만의 오한 여름의 전기장판 시에 저절로 눈이 떠졌습니다 머리가 지끈거리면서 몸이 무거웠고 미열도 났습니다 방문도 제대로 닫혀있고 에어컨이 켜진 것도 아니었는데 춥고 몸이 으슬으슬 떨렸습니다 두꺼운 이불을 덮고 온몸을 웅크렸습니다 오한이 왔구나 몸으로 느꼈습니다 치웠던 전기장판까지 꺼내 켰습니다 아주 오랜만에 느껴본 오한에 놀랐던 탓도 있습니다 다행인 머리가 무거웠지만 두통이 심하지는 않았습니다 침대에서 나와 물을 마시기 위해 걸었습니다 몸살이 아주 심할 머리가 울리는 고통은 없었습니다 전에 약을 먹었으니 버텨보기로 했습니다 눈을 붙이고자 했지만 실패했습니다 새벽 시쯤 해열제 알을 먹었습니다 이후 정도 지나니 상태가 빠르게 호전됐습니다 땀을 많이 흘리기도 했는데 식은땀이었던 것으로 추정됩니다 새벽 시쯤 회사 로비에서 측정한 체온은 오한은 없었습니다 백순영 가톨릭대 의대 명예교수 타이레놀 짜리는 알씩 하루 최대 차례 복용 타이레놀 서방형 짜리는 알씩 하루 최대 차례 복용 체온이 도까지 올라갔다 며칠 먼저 백신을 맞은 친구의 말입니다 시시각각 변하는 체온을 기록한 백신 접종기도 여럿 봤습니다 보통의 기사에서는 숫자가 사실을 전달하는 역할을 이번에는 다르다고 생각했습니다 아픈지 공감할 있는 방식으로 전하고 싶었습니다 가정한 백신 접종에 따른 면역 반응이 그냥 감기 몸살이라는 상황입니다 내가 정도로 아프면 등교나 출근을 있을까 지난 학창시절과 사회생활의 경험치를 종합해보면 집밖을 나서는 가능할 같았습니다 종일 조퇴가 하고 싶었을 겁니다 악조건을 가정했습니다 휴가인데 며칠 전에 아프다면 세상이 변했다지만 상사나 동료 눈치 보지 않을 없죠 이럴 경우 하루 정도는 참고 버틸 있는 정도라고 생각했습니다 참을만 했다 일상으로 다가가길 이번 얀센 백신 접종기는 예상했던 보다는 많이 아팠지만 참을 했다 정리될 같습니다 특히 약을 챙겨 먹으면 버틸만 했습니다 개인 차가 분명하고 백신의 종류에 따라서도 면역 반응이 다를 있을 겁니다 부작용으로 의심되는 심각한 사례도 보고되고 있습니다 제가 백신 접종한 경험을 공유하는 막연한 불안감을 씻기 위함입니다 방역당국이 제공하는 접종 주의사항 숙지하시고요 공공이든 민간이든 정부에서 권고한 백신 휴가 챙겨주시길 당부합니다 분명한 것은 백신 접종자가 늘수록 코로나 이전의 일상으로 돌아가는데 걸리는 시간은 빨라질 거란 점입니다 김영수 시각 코로나 확진자 현황을 확인하세요,sostoken 아플 알았는데 전기장판까지 꺼냈다,아플 알았는데 전기장판까지 꺼냈다 eostoken
308,이준석 여자친구 있습니다,국민의힘 이준석 대표가 국회에서 열린 의원총회에서 인사말을 하고 이준석 국민의힘 대표가 여자 친구가 유명인은 라고 공개했다 대표는 조선일보 데일리 팟캐스트 모닝라이브와 가진 전화 인터뷰에서 세에 미혼이라 궁금해하는 사람들이 많다 여자친구 있나 라는 질문에 이같이 말했다 대표는 이어 사생활 문제는 앞으로 답을 하려고 한다 면서 너무 깊게 들어가는 어렵다 조심스러워했다 대표는 년생 세로 미혼이다 대표가 국민의힘 대표로 선출된 직후 언론에서는 그에게 여자친구와 관련한 질문을 쏟아냈다 그때마다 대표는 공적인 질문만 해달라 답변을 피해갔다 국민의힘 이준석 대표가 서울 여의도 국회에서 열린 최고위원회의에서 최고위원들의 발언을 듣고 이날 대표는 가상화폐 투자로 상당한 돈을 벌었다는 사실도 공개했다 대표는 가상화폐 투자로 선거 서너 치를 돈을 벌었는데 요즘 다시 많이 떨어졌다 했다 가상화폐 투자로 성공한 배경에 내가 원래 프로그래머였기 가상화폐 자동 투자 프로그램을 있었다 재미로 프로그래밍을 해봤는데 수익을 봤다 했다 이외에도 그는 직설적이고 있는 화법 싸가지 건방져보인다 평가에 저를 평가하는 분들의 지적을 고맙게 받아들이고 많이 녹여내려 따뜻한 아이스 아메리카노 처럼 존재하기 힘든 물질이 답했다 이날 대표는 자신이 평소 신고 다니는 신발 사진을 공개했다 대표는 유명해지면 겪는다는 페라가모 논란을 겪고 대표 페라가모를 신고 다닌다는 루머가 온라인상에서 퍼지자 선제적으로 대응했다 장혜진 부산닷컴 부산일보 부산닷컴 회원가입 회원 전환하면 부산일보 지면보기 무료이벤트 부산일보,sostoken 이준석 여자친구 있습니다,이준석 여자친구 있습니다 eostoken
332,커피 이렇게 마시면 걸릴수도,커피처럼 말이 식품이 있을까 커피가 일부 암이나 당뇨 치매 등각종 질병 예방에 도움을 준다는 연구들이 나오고 있지만 효능과 상관없이 커피의 부작용도 만만치 카페인 섭취량을 주의해야 하며 위장질환이 있거나 카페인에 예민한 사람 청소년은 피해야 대상이다 더불어 커피를 마시느냐도 건강에 중요하다 뜨거운 커피를 자주 마시는 습관도 위험하다 식도암 위험을 높이기 때문이다 의학전문가들에 따르면 음식물이 통과하는 식도는 늘어나는 특성을 가졌기 암이 발병해도 초기 증상을 느끼지 못할 대부분이다 평소 식습관으로 관리가 중요하다는 얘기다 식도암의 문제는 커피 자체의 문제가 뜨거운 오뎅 국물이나 보글보글 끓어오르는 김치찌개 좀처럼 식지 않는 돌솥용기 삼계탕도 마찬가지다 음식을 매일 그것도 하루 섭취하는 일은 드물다 반면 커피는 일상에서 가장 자주 접하는 식품이다 이미 세계보건기구 산하 국제암연구소는 지난 보고서를 통해 뜨거운 커피 식도암 확률을 높인다는 연구결과를 발표했다 연구팀은 뜨거운 음료를 자주 마시면 식도에 온열화상을 입을 있는데 일이 반복되면 식도암으로 발병할 가능성이 높다 실제로 뜨거운 음료를 일상적으로 자주 마시는 나라는 식도암 비율이 높게 나타났다 밝혔다 식도암 위험은 그대로 온도 때문 이라며 음료 자체 탓은 라고 했다 지난 년에도 국제암저널 뜨거운 차를 마시면 식도암 위험이 증가한다는 연구 논문이 게재됐다 여명을 년간 추적조사한 연구에서는 이상의 차를 하루에 마시는 이들은 미만의 차를 하루 미만으로 마시는 사람들보다 식도암 위험이 높았다 연구에서 온도는 도가 기준이다 뜨거운 따뜻한 바꾸기만 식도암 위험은 크게 줄어든다 세계보건기구는 종류와 제공되는 뜨거운 음료를 발암물질로 분류한다 이는 뜨겁다 시원하다 표현하면서 뜨거운 음식을 매우 먹는 한국인이 주의깊게 살펴볼 부분이다 김이 나는 대부분의 음식과 차는 온도를 넘기기 쉽다 식탁에 올려진 된장찌개의 표면온도는 삼계탕은 정도이다 커피전문점에서 건네받은 아메리카노 보통 정도다 따뜻한 아메리카노를 주문했으나 뜨거운 아메리카노를 건네받은 셈이다 식도암의 위험을 크게 떨어뜨리는 방법은 간단하다 커피를 받은 분간 식힌 천천히 마시면 된다 주문을 미지근하게 또는 너무 뜨겁지 않게 라고 미리 요청하는 것도 방법이다 환경적 대화기구,sostoken 커피 이렇게 마시면 걸릴수도,커피 이렇게 마시면 걸릴수도 eostoken
