,title,contents,decoder_input,decoder_target
0,가정파탄 코인충 기승전결,그와중에 원금회복한다고 억을 더넣네 코인으로 잃은거 코인으로 메꾼다 강원랜드 카라로 잃은거 카라로 메꾼다 라는 느낌이 나는 이유가 뭐지,sostoken 가정파탄 코인충 기승전결,가정파탄 코인충 기승전결 eostoken
1,일본 고양이 가방 근황,개쩌는 리얼리티로 박제 아닌가 의심받을 정도였던 일본의 고양이 가방 오더메이드로 가격도 개쩐다 하나에 백만원이 넘음 유사품 피해자 속출중 연예인도 당했다고 트위터에 뜨고 뉴스에도 나오는중,sostoken 일본 고양이 가방 근황,일본 고양이 가방 근황 eostoken
2,남자가 필요하다는 여간호사,이거도 이해되는게 신들 수두룩함 진짜 유동많고 바쁜 병원들은 경찰 배치도 필요하다고 생각듬,sostoken 남자가 필요하다는 여간호사,남자가 필요하다는 여간호사 eostoken
3,모바일 게임 충격의 홍보 배우,역사나 신화에 있는 캐릭터들 시킨 모바일 게임인데 대충 게임 인게임에서 캐릭터 가슴 눌러서 모핑 확인도 가능한 게임 덕분에 청소년 이용불가 판정 받은 소위 게임인데 최근에 전속 홍보모델을 뽑았다는 뉴스가 올라왔다 홍보모델이,sostoken 모바일 게임 충격의 홍보 배우,모바일 게임 충격의 홍보 배우 eostoken
4,인생을 한순간에 조져버린 방송,방송 나간 이후 킹쁘지 않던 이미지가 플렉스님 풀소유 불교익 드립 당하고 소멸,sostoken 인생을 한순간에 조져버린 방송,인생을 한순간에 조져버린 방송 eostoken
5,코인으로,겨울 집값이 비싸기로 소문난 신축 오피스텔에서 지내는 비트코인 투자자 그의 나이는 불과 얼마의 자산을 가지고 있기에 젊은 청년이 고급 오피스텔에서 살수있는것일까 그의 자신은 억원 만원으로 가상화폐 투자를 시작한 조씨는 월말에 수준의 자산을 가지게 된것 로또를 맞은 수준의 자산임 취재를 제작진이 현실성이 안느껴진다고 하자 그자리에서 가상화폐를 팔아 현금 천만원을 통장에 꼽는 모습을 보여줌 인터뷰를 사이 비트코인 시세가 오르기 시작 시간만에 자산에서 억으로 늘어남 만원으로 시작해 년만에 자산 증가 지금은 되었을지 모르지만 당시 비트코인 뺴고도 최고급 오피스텔 구매 부모님 구매 현금자산 억쫌 넘어 가지고 있다했으니 평범한 직장인 평생벌수있는것 보다 번듯,sostoken 코인으로,코인으로 eostoken
6,일본에 존재하는 한국산,큐슈 미야자키에 있는 명칭이 정말 한국이 붙은 일반적인 칸코쿠 아니고 카라쿠니 라고 한다 명칭이 붙여있는지에 대해서는 한국이 보일 정도로 높다 라는 백제의 마지막 왕족이 죽기전까지 미야자키에 머물었다는 큐슈가 고대에 한반도와 가장 왕래가 잦았는데 우호관계로 붙힌 명칭이라는 아직도 정확한 설이나 기록은 없음,sostoken 일본에 존재하는 한국산,일본에 존재하는 한국산 eostoken
7,현재 개빡친 캡콤 팬들 요약,캡콤 파트는 한국 오늘 오전 분부터 시작했음 캡콤 팬들은 안자고 계속 기다림 근데 발표한건 바이오하자드 멀티 대전 게임 공개할 예정임 바이오하자드 빌리지 만들거임 몬헌 스토리즈 체험판 몬헌 라이즈는 스토리즈랑 연동할 있고 장비 이벤트 추가할거임 끝임 팬들 안자고 버틴 자신이 억울해서 셔츠찢고 울부짖음,sostoken 현재 개빡친 캡콤 팬들 요약,현재 개빡친 캡콤 팬들 요약 eostoken
8,중국의 신비한 전기차,레이 비스무리한 차가 나왔다 근데 뭔가 뭔가 이상하다 문이 주차장에서 어케 내림 뒤에 좌석 추가 가능하다고 근데 문은 못믿어서 실제 사진 추가 진짜 문이 중간에 보이는 문만 통짜 문에서 열린다고,sostoken 중국의 신비한 전기차,중국의 신비한 전기차 eostoken
9,유튜버 가슴골 논란 나온 육아 유튜버 근황,엄마가 아니고 아빠 가슴골이 아니고 대흉근임 딸내미 이제 너무 많이 커서 컨트롤 불가 사실 육아 유튜버 아니고 헬스 유튜버임,sostoken 유튜버 가슴골 논란 나온 육아 유튜버 근황,유튜버 가슴골 논란 나온 육아 유튜버 근황 eostoken
10,비웃음 받았던 게임,년에 나왔음에도 년대 수준의 그래픽으로 놀림받았던 게임 이에 제작진은 대규모 그래픽 패치를 준비하는데 비웃음으로도 모자르다,sostoken 비웃음 받았던 게임,비웃음 받았던 게임 eostoken
11,미원의 년된 분노가 담긴 라면,더불어 절대 무해하다는 점과 나트륨 섭취를 줄인다는 팩트를 내세우면서 위험론에 대항한다고,sostoken 미원의 년된 분노가 담긴 라면,미원의 년된 분노가 담긴 라면 eostoken
12,전세계 인구 성비 근황,빨강이 많을수록 여성이 파랑이 많을수록 남성이 많음 인구 억이상의 밸붕 중국을 제외하면 여성이 압도적으로 많음,sostoken 전세계 인구 성비 근황,전세계 인구 성비 근황 eostoken
13,데뷔 년차 대배우의 인생 조언,데뷔 년차 다양한 작품에서 다양한 캐릭터로 인정 받았지만 연관 검색어 위는 손현주 거지,sostoken 데뷔 년차 대배우의 인생 조언,데뷔 년차 대배우의 인생 조언 eostoken
14,모두 기다렸던 신작 격겜,콘솔로 아닌 아닌 년만에 신작인가 믿고 있었다고 세가 온라인 대전 가자,sostoken 모두 기다렸던 신작 격겜,모두 기다렸던 신작 격겜 eostoken
15,같이 밥먹는데 남편만 살이 자꾸 빠짐,여동생 남편이 건강검진에서 너무 마름 이라는 진단을 받아서 여동생이 내가 아무것도 못먹게 같잖아 라며 집에서 만드는 식사량을 늘렸더니 여동생만 살쪘다는 이야기를 듣고 빵터졌다,sostoken 같이 밥먹는데 남편만 살이 자꾸 빠짐,같이 밥먹는데 남편만 살이 자꾸 빠짐 eostoken
16,코인을 게임처럼 즐긴다는 청년의 최후,전직 프로게이머 스윙스 어머니가 주신 만원으로 코인 거래 시작 그걸 계속 늘려서 자산가가 본인 피셜 게임처럼 코인에 접근했지만 가족들이 돈때문에 힘들게해서 정말 목숨걸고 했다고 가족들은 아직 자기가 많은거 모른다고 거래스타일은 승부사 스타일 실제로 저렇게 불린 방법도 저점이라고 생각되면 가지고있는 전재산 몇십억 몇백억 풀로 집어넣음 첨부터 잘한건 아니고 년부터 벌면 날리고 벌면 날리고 무한반복하면서 알게됐다고,sostoken 코인을 게임처럼 즐긴다는 청년의 최후,코인을 게임처럼 즐긴다는 청년의 최후 eostoken
