,제목,내용
0,방탄소년단 정국으로 헤어스타일 골라보기,"검은 짧머


금발 짦머


금발 장발


보라 장발


말티펌


빨간 짧머


갈발 브릿지


파랑 브릿지


롯팸컷


갈발 짦머


몰티져스컷


양송이컷





난 몰티져스컷 "
1,[원본지킴]대구상간녀 가 1년만네 결혼한대요..feat.공기업취업비리?? 지인쓰니폭행, 
2,"야동 보면서 7,8세 두 딸 성폭행한 아빠","이거 왜 자꾸 묻히고 있지..
아빠 반성하고 있다고 판사가 10년형 내렸대
아빠 출소하면 53세 - 두딸은 17,18세





조두순 사건이랑 뭐가 다름 "
3,대장내시경 인생 2회차 썰 풀어보기~!,"2년전에 대장내시경을 인생처음으로 했었는데,
생각지도 못하게 용종발견되서 다행히 작은거 2개라서 잠든 사이 의느님이 해결해줌
용종은 혹 같은건데

   뭐 이런거임, 이런 용종이 너무 크거나 혹은 한번에 3개 이상은 제거할수 없어서
4개이상일 경우에는 대장내시경을 나중에 한번 더 하면서 제거해야하는
불상사가 있는데, 아무튼 다행히 한번에 해결..흙흙
  대장내시경 해본사람들은 알겠지만 막상 할때는 아무런 기억이 없어서
괜찮은데 하기전이 거의 고문수준..
  평소에 잔변감도 있고 변비도 좀 심한편이라
또 용종 생길까봐 2년에 한번씩은 대장내시경 해보려고 생각했는데
다행히 이번엔 아무것도 안나오고 깔끔ㅜ
  내시경 검사 하기전에 루틴임▼▼▼
일단 대장내시경 하루 전날 오후 6시 이후부터는 미음을 쒀먹음
   그리고 이 아주 역겨운 가루를 물에 풀어서 밤 10시경 15분 간격으로 4차례 먹어줌
+물 1리터ㅎㅎㅎ

   다행인건(?) 오렌지맛이라서 그나마 삼킬만한데 처음 200ml는 괜찮은데
15분뒤에 다시 먹는 오렌지맛은, 그리고 그 다음 15분, 또 그다음..
오렌지맛이라기 보다 오렌지 향이 나는데 맛자체는 약간
조금 짠(salty)한 오렌지향 맛나는 물이라고 표현하면 비슷할까..
지금 쓰면서도 입에 침이 고임… 토할것 같아서 
   (오렌지 그림 그렇게 함부로 말자)
    우연히 티비 보는데 김준호가 대장내시경 한다고 먹고 있는거 나와서
ㅈㄴ 허공에 짠하면서 같이 마심
괴로웠는데 진짜 혼자가 아닌 느낌을 받게 해줬다..
저때 이후로 티비에 김준호 나오면 뭐가 정이 감
(고통을 함께 나눈 친구느낌)
  이렇게 1L를 마시고 나면
대략 마지막 200ml를 마시고 난 15분 정도 뒤부터
화장실을 13번 정도 가게 됨
나와서는 안될 곳에서 물이 나오는 신선한 경험을 하게 됨
  굉장히 중요한 것은 –(중요)
밤에 먹고 다음날 새벽에 일어나서(5시경)
똑같이 4번에 걸쳐서 1L를 더 마셔야함 하하하하하하하.하핳
대략 28번의 화장실을 거치면 대장 내시경이라는 목적지에 도달할 수 있음
  이제 지금부터는 대장내시경을 받은 썰인데
디테일하게 설명하고 싶어도 기억나는게 없지만,
기억을 더듬어 보면,
대장내시경용 바지를 입는데 엉덩이 부분에 구멍이 뚫여있음
그걸 입고 병원 침대(바퀴달린)에 눕는데
엉덩이를 침대 바깥쪽으로 두고 한쪽 사이드에 딱 붙어서 누움
그리고 이것저것 코, 팔 등등에 호수를 연결하기 시작하고,
‘가스 들어갑니다’ 라고 함
궁금해서 “끝나는데 얼마나 걸려요?” 라고 물어봤는데,
다음 장면은 담당자분이 끝났다고 날 깨우고 있음
  이게 진짜 하긴 한건가 싶지만,
엉덩이를 만져보면 둔부에 젤이 발려져 있는걸 보고
뭔가 들어갔다 나오긴 했나보다 추측함
  대장내시경 고통은 (준비기간 99% + 실제 대장내시경 1%)
  몇 년전에 아빠가 치칠수술 이후로 변비가 한참 있어서
대장내시경 했더니 용종이 3개인가 있어서 바로 없앴는데
그거보고 2년전에 나도 했다가 있길래 진짜 충격이었음
이번에는 아무것도 안나와서 진짜 마음이 편한데ㅜ
그 이후로는 아빠랑 나는 변비 심할때는 아락실 종종 먹고
쓰루알로(알로에)로 숙변 제거하는것도 신경 많이씀
변비 때문에 유산균 종류는 많이 먹어봤는데 뭔가 개운하다 이런느낌은 없었고
알로에는 숙변을 좀 잘 밀어내주는 느낌,, (대부분 변비약에 알로에가 들어감)
  암튼 이렇게 대장내시경을 마치고 받은 결과표!
대장은 깨끗한데 이번엔 비타민D가 부족하네 하
간수치 높고,,, 
  결론 3줄
대장내시경은 준비기간이 ㅈ같다, 막상 침대에 누우면 천국
변비나 잔변 느낌이 있는 사람들은 대장내시경 꼭 한번 해보기,,
건강이 최고다




  "
4,오랜만에 슬픈썰 풀어주라 (´•̥ω•̥`) ,"❌페북 인스타 퍼가지마❌

이건 이어쓰기 1회~160회까지 이어져있는 링크야!
https://m.pann.nate.com/talk/351545231

다들 본문 추천 한번씩 눌러주면 고마울거같아!
그리고 추반댓은 최대한 자제해줘ㅠㅠ 꼭 물어보고싶은게 있다면 댓글말고 답글로 추반해달라고 하는게 좋을거같아

시작!


오늘은 안 올린지 오래된 주제로 글 가져와봤어! 다들 댓글 많이 달아주라❤ 그리고 혹시 보고싶은 주제 있으면 꼭 주제추천글 댓글로 적어줘! 썰푸는 글에 적으면 묻힐 확률도 높고 다른 판녀들이 댓글 보는데 방해될수도 있어서 베댓 가더라도 그 주제로는 글 안 쓸 예정이야 주제추천방 글 링크 두고갈게!! ฅ^._.^ฅ
https://m.pann.nate.com/talk/355306213
링크 안 들어가지면 '이어쓰기 주제신청방'이라고 검색하면 바로 나올거야⭐ "
5,내용은 기억나는데 제목은 기억안나는거 말해보자!! (ง˙∇˙)ว,"❌페북 인스타 퍼가지마❌

이건 이어쓰기 1회~160회까지 이어져있는 링크야!
https://m.pann.nate.com/talk/351545231

다들 본문 추천 한번씩 눌러주면 고마울거같아!
그리고 추반댓은 최대한 자제해줘ㅠㅠ 꼭 물어보고싶은게 있다면 댓글말고 답글로 추반해달라고 하는게 좋을거같아

시작!



오늘은 오랜만에 매번 화력이 좋았던 주제로 가져와봤어!!ㅎㅎㅎ 나는 이전에 하면서 찾을건 대부분 찾았으니까 나도 찾는거 많이 도와줄겡

아 참고로 본문 사진 만화는 '몬스터왕자 몽짱'이야!


오늘도 추천받은 주제로 글 가져와봤어! 다들 댓글 많이 달아주라❤ 그리고 혹시 보고싶은 주제 있으면 꼭 주제추천글 댓글로 적어줘! 썰푸는 글에 적으면 묻힐 확률도 높고 다른 판녀들이 댓글 보는데 방해될수도 있어서 베댓 가더라도 그 주제로는 글 안 쓸 예정이야 주제추천방 글 링크 두고갈게!! ฅ^._.^ฅ
https://m.pann.nate.com/talk/355306213
링크 안 들어가지면 '이어쓰기 주제신청방'이라고 검색하면 바로 나올거야⭐ "
6,"알바썰&꿀팁 말해주라!! ヾ(๑╹◡╹)ﾉ""","❌페북 인스타 퍼가지마❌

이건 이어쓰기 1회~160회까지 이어져있는 링크야!
https://m.pann.nate.com/talk/351545231

다들 본문 추천 한번씩 눌러주면 고마울거같아!
그리고 추반댓은 최대한 자제해줘ㅠㅠ 꼭 물어보고싶은게 있다면 댓글말고 답글로 추반해달라고 하는게 좋을거같아

시작!


오늘도 추천받은 주제로 글 가져와봤어! 다들 댓글 많이 달아주라❤ 그리고 혹시 보고싶은 주제 있으면 꼭 주제추천글 댓글로 적어줘! 썰푸는 글에 적으면 묻힐 확률도 높고 다른 판녀들이 댓글 보는데 방해될수도 있어서 베댓 가더라도 그 주제로는 글 안 쓸 예정이야 주제추천방 글 링크 두고갈게!! ฅ^._.^ฅ
https://m.pann.nate.com/talk/355306213
링크 안 들어가지면 '이어쓰기 주제신청방'이라고 검색하면 바로 나올거야⭐ "
7,웃긴짤 푸니까 다 들어와, 
8,견미리 피해자 가족이 이승기 14년 찐팬,"빡칠만 함



저건 견미리 남편 주가조작 사건 피해이고
+ 저것말고 견미리 다단계 관련만해도 피해자가 35만명임. 피해액 2~4조 추정 역대사기사건 2위 피해금액


견미리 이유비 이다인 이승기 "
9,근데 옛날 일진들은 진짜 클라스가 다른듯,"대놓고 때리고 삥뜯고 셔틀시키고 이게 진짜 너무 당연했던 분위기 지금 이러면 뉴스에 나오고 기사 뜨고 난리 났겠지만 옛날에는 이런게 학교마다 있었나봐 일진회라는말도 웃기고 일진이란 정의가 딱 내려진..?지금은 그냥 담배피고 공부안하고 개기고 자퇴하고 좀 일진?이런게 모호하지만 옛날에는 아예 물리적 힘을 가하니까 이런게 당연시고 학폭처벌도 딱히 없었고 너무 무서운듯.. 나 지금 옛날 일진만화 보는데 ㅈㄴ무서워
이 사진은 좀 옛날인가? "
