,제목,내용
0,공학과 여고와 남고의 차이.gif,  너희가 뭘 좋아하는지 몰라서 다 가져왔어 
1,대한민국의 어느 41세 여배우.jpg,"                  장나라도 나이가 슬슬 보이네..
예전같았으면 20살로 보일게 25살로 보여 ㅠ "
2,가정파탄 코인충 기승전결.jpg,"                            그와중에 원금회복한다고 1억을 더넣네
  코인으로 잃은거 코인으로 메꾼다...
  강원랜드 바1카라로 잃은거 바1카라로 메꾼다 라는 느낌이 나는 이유가 뭐지.. "
3,19)후배 자취방갔다가 좇된 디씨인,    
4,임신한 충격에 절망한 사촌언니..jpg," 아들 다섯은 아..
  "
5,남자가 필요하다는 여간호사.jpe,"   이거도 이해되는게 별 병.신들 수두룩함 진짜
유동많고 바쁜 병원들은 경찰 배치도 필요하다고 생각듬 "
6,요즘 영화관 근황.jpg,"cgv
     롯데시네마

                                 팝콘 전문점으로 바뀌었음. "
7,"19금 모바일 게임, 충격의 홍보 배우....jpg","역사나 신화에 있는 캐릭터들 TS화 시킨 모바일 게임인데





대충 이런 게임

인게임에서 캐릭터 가슴 눌러서 모핑 확인도 가능한 게임

덕분에 청소년 이용불가 판정 받은 소위 19금 게임인데
최근에 새 전속 홍보모델을 뽑았다는 뉴스가 올라왔다

그 홍보모델이













??? "
8,인생을 한순간에 조져버린 방송.jpg,"   이 방송 나간 이후
킹쁘지 않던 이미지가 플렉스님, 풀소유, 불교익 드립 당하고 소멸 "
9,가슴큰 여자에게 기운받은 썰,    
10,일본 고양이 가방 근황.JPG,"        개쩌는 리얼리티로 박제 아닌가 의심받을 정도였던
일본의 고양이 가방
          오더메이드로 가격도 개쩐다.
  하나에 백만원이 넘음
                          하지만 유사품 피해자 속출중
                        연예인도 당했다고 트위터에 뜨고
  .
.
.
            뉴스에도 나오는중..
  "
