,title,contents
0,하루,제비 마리가 집을 짓고 있다 우리 지붕 아래 조그만 주머니처럼 예쁜 꽃잎들이 활짝 웃고 있다 어제 내린 비에 하얗게 세수한 얼굴로 따뜻한 햇살에 동생은 잠이 들고 바둑이 나비를 쫓아 동산에 올라가면 하나 모여든 친구들 함께 놀다 새파란 잔디 위에 누우면 멀리 구름이 그림을 그린다 하늘 도화지에 어느새 하얀 솜사탕을 라라라라라라 라라라라라라 라라라라라라 라라라 라라라라라라 따뜻한 햇살에 동생은 잠이 들고 바둑이 나비를 쫓아 동산에 올라가면 하나 모여든 친구들 함께 놀다 새파란 잔디 위에 누우면 멀리 구림이 그림을 그린다 하늘 도화지에 동그란 엄마의 얼굴을
1,세마리,마리가 집에 있어 아빠곰 엄마곰 애기곰 아빠곰은 뚱뚱해 엄마곰은 날씬해 애기곰은 너무 귀여워 으쓱 으쓱 잘한다
2,아기 염소,파란 하늘 파란 하늘 꿈이 드리운 푸른 언덕에 아기염소 여럿이 풀을 뜯고 놀아요 해처럼 밝은 얼굴로 빗방울이 뚝뚝뚝뚝 떨어지는 날에는 잔뜩 찡그린 얼굴로 엄마 찾아 아빠 찾아 울상을 짓다가 해가 번쩍 곧게 피어나면 너무나 기다렸나봐 홀짝홀짝 콩콩콩 흔들흔들 콩콩콩 신나는 아기 염소들
3,동물농장,닭장속에는 암탉이 문간 옆에는 거위가 배나무 밑엔 염소가 외양간에는 송아지 닭장속에는 암탉들이 문간 옆에는 거위들이 배나무 밑엔 염소들이 외양간에는 송아지 깊은 산속엔 뻐꾸기 높은 하늘엔 종달새 부뚜막 위엔 고양이 마루 밑에는 강아지 깊은 산속엔 뻐꾸기가 높은 하늘엔 종달새가 부뚜막 위엔 고양이가 마루 밑에는 강아지 하이아야 오오오 하이아야 오오오
4,멋쟁이 토마토,울퉁불퉁 멋진 몸매에 빨간 옷을 입고 새콤 달콤 향내 풍기는 멋쟁이 토마토 토마토 나는야 주스 될거야 꿀꺽 나는야 케첩 될거야 나는야 춤을 출거야 헤이 뽐내는 토마토 토마토 나는야 주스 될거야 꿀꺽 나는야 케첩 될거야 나는야 춤을 출거야 헤이 뽐내는 토마토 토마토 뽐내는 토마토 토마토
5,수박 파티,커다란 수박하나 익었나 단숨에 쪼개니 속이 보이네 쪼갠 후에 너도 나도 들고서 우리 모두 하모니카 신나게 불어요 쭉쭉 쭉쭉쭉 쓱쓱 쓱쓱쓱 싹싹 싹싹싹 쭉쭉 쓱쓱 쭉쭉 쭉쭉쭉 쓱쓱 쓱쓱쓱 싹싹 싹싹싹 쭉쭉 쓱쓱
6,얼굴 찌푸리지 말아요,얼굴 찌푸리지 말아요 모두가 힘들 잖아요 기쁨의 위해 함께 친구들이 있잖아요 혼자라고 느껴질 때면 주위를 둘러보세요 이렇게 많은 이들 모두가 나의 친구랍니다 우리 가는 길이 결코 쉽지 않을 거예요 때로는 모진 시련에 좌절도 하겠지만 우리의 친구들과 함께라면 두렵지 않아 우리 모두 함께 손을 잡고 원투쓰리포 얼굴 찌푸리지 말아요 모두가 힘들잖아요 기쁨의 위해 함께 친구들이 있잖아요 혼자라고 느껴질 때면 주위를 둘러보세요 이렇게 많은 이들 모두가 나의 친구랍니다 우리 가는 길이 결코 쉽지 않을 거예요 때로는 모진 시련에 좌절도 하겠지만 우리의 친구들과 함께라면 두렵지 않아 우리 모두 함께 손을 잡고 원투쓰리포 얼굴 찌푸리지 말아요 모두가 힘들잖아요 기쁨의 위해 함께 친구들이 있잖아요 혼자라고 느껴질 때면 주위를 둘러보세요 이렇게 많은 이들 모두가 나의 친구랍니다 얼굴 찌푸리지 말아요 모두가 힘들잖아요 기쁨의 위해 함께 친구들이 있잖아요 혼자라고 느껴질 때면 주위를 둘러보세요 이렇게 많은 이들 모두가 나의 친구랍니다
7,싹트네,싹트네 싹터요 마음에 사랑이 싹트네 싹터요 마음에 사랑이 밀려오는 파도처럼 마음에 사랑이 싹트네 싹터요 마음에 사랑이
8,작은,반짝 반짝 아름다운 작은 별들 구슬같이 어여쁘게 빛나요 저녁하늘 별도 없이 깜깜한데 금강석을 깔아논듯 반짝 거려요 소근 소근 사이좋게 노는 별들 무슨 애기 그리 재미날까요 호랑 햇님 성낸 얼굴 들기 전에 졸지 말고 어서 어서 놀다 가세요
9,다시 한번,멀리 바라봐 그곳엔 내가 있잖아 곁에 있지 않더라도 함께인걸 느낄 있어 두렵지 않아 곁엔 네가 있잖아 어떤 어려움도 우린 이겨낼 있어 높이 높이 날아봐 넓은 세상이 보일 거야 나와 함께 같이 가는 거야 힘이 들고 험난해도 너와 함께라면 이겨낼 있을 거야 때론 넘어지고 흔들려도 놓지 굳게 잡고 달려가자 다시 한번 때론 넘어지고 흔들려도 놓지 굳게 잡고 달려가자 다시 한번
